road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii
1795532,Addressing Road,Unknown,Road,Pahautea Road,Pahautea Rd,,Pahautea,Road,,,,,,Pahautea Road,Pahautea Rd,Pahautea
3069918,Addressing Road,Unknown,Road,Cross Creek Road,Cross Creek Rd,,Cross Creek,Road,,,,,,Cross Creek Road,Cross Creek Rd,Cross Creek
1795599,Addressing Road,Unknown,Road,Glenmorven Road,Glenmorven Rd,,Glenmorven,Road,,,,,,Glenmorven Road,Glenmorven Rd,Glenmorven
3002124,Addressing Road,Unknown,Road,Te Awaiti Road,Te Awaiti Rd,,Te Awaiti,Road,,,,,,Te Awaiti Road,Te Awaiti Rd,Te Awaiti
3007890,Addressing Road,Unknown,Road,Taylor Road,Taylor Rd,,Taylor,Road,,,,,,Taylor Road,Taylor Rd,Taylor
3067569,Addressing Road,Unknown,Road,Blue Rock Road,Blue Rock Rd,,Blue Rock,Road,,,,,,Blue Rock Road,Blue Rock Rd,Blue Rock
1795506,Addressing Road,Unknown,Road,Kaiwaka Road,Kaiwaka Rd,,Kaiwaka,Road,,,,,,Kaiwaka Road,Kaiwaka Rd,Kaiwaka
1795574,Addressing Road,Unknown,Road,Ngapotiki Road,Ngapotiki Rd,,Ngapotiki,Road,,,,,,Ngapotiki Road,Ngapotiki Rd,Ngapotiki
1795601,Addressing Road,Unknown,Road,Manakau Road,Manakau Rd,,Manakau,Road,,,,,,Manakau Road,Manakau Rd,Manakau
1795516,Addressing Road,Unknown,Road,Wharekauhau Road,Wharekauhau Rd,,Wharekauhau,Road,,,,,,Wharekauhau Road,Wharekauhau Rd,Wharekauhau
1795523,Addressing Road,Unknown,Road,Seaview Avenue,Seaview Ave,,Seaview,Avenue,,,,,,Seaview Avenue,Seaview Ave,Seaview
1795625,Addressing Road,Unknown,Road,Tilson Avenue,Tilson Ave,,Tilson,Avenue,,,,,,Tilson Avenue,Tilson Ave,Tilson
1795525,Addressing Road,Unknown,Road,Burts Road,Burts Rd,,Burts,Road,,,,,,Burts Road,Burts Rd,Burts
1795534,Addressing Road,Unknown,Road,Pā Road,Pā Rd,,Pā,Road,,,,,,Pa Road,Pa Rd,Pa
1795508,Addressing Road,Unknown,Road,Cape Palliser Road,Cape Palliser Rd,,Cape Palliser,Road,,,,,,Cape Palliser Road,Cape Palliser Rd,Cape Palliser
1795471,Addressing Road,Unknown,Road,Farrier Grove,Farrier Grv,,Farrier,Grove,,,,,,Farrier Grove,Farrier Grv,Farrier
1795524,Addressing Road,Unknown,Road,Buicks Road,Buicks Rd,,Buicks,Road,,,,,,Buicks Road,Buicks Rd,Buicks
1795529,Addressing Road,Unknown,Road,Duddings Line,Duddings Line,,Duddings,Line,,,,,,Duddings Line,Duddings Line,Duddings
1795550,Addressing Road,Unknown,Road,Lagoon Hill Road,Lagoon Hill Rd,,Lagoon Hill,Road,,,,,,Lagoon Hill Road,Lagoon Hill Rd,Lagoon Hill
